gene_set	protein	n	coef_unadjusted	pval_unadjusted	coef_purity_grade_stage_adjusted	pval_purity_grade_stage_adjusted	covariates_used	fdr_unadjusted	fdr_purity_grade_stage_adjusted	source
lipid_synthesis_srebp	SREBF1	23	-0.387	0.071805	-0.091	0.73019	purity, grade, stage	0.359	0.9398	bcm
lipid_synthesis_srebp	FASN	64	0.1098	0.201775	0.0991	0.247817	purity, grade, stage	0.7567	0.9398	bcm
lipid_synthesis_srebp	ACACA	64	0.1603	0.039221	0.1585	0.043233	purity, grade, stage	0.2942	0.3242	bcm
lipid_synthesis_srebp	ACLY	64	0.0157	0.8112	0.0115	0.864017	purity, grade, stage	0.9621	0.9398	bcm
lipid_synthesis_srebp	HMGCR	15	0.2425	0.450766	0.145	0.714231	purity, grade, stage	0.9366	0.9398	bcm
lipid_synthesis_srebp	SQLE	64	0.0812	0.410168	0.0947	0.351349	purity, grade, stage	0.9366	0.9398	bcm
desaturation_elongation	SCD	63	0.0135	0.938734	0.0006	0.997178	purity, grade, stage	0.9621	0.9972	bcm
desaturation_elongation	FADS1	19	0.0739	0.797891	0.1085	0.735288	purity, grade, stage	0.9621	0.9398	bcm
desaturation_elongation	FADS2	35	0.0101	0.955794	-0.0637	0.754196	purity, grade, stage	0.9621	0.9398	bcm
fatty_acid_uptake_oxidation	CD36	64	0.1447	0.499501	0.0888	0.663475	purity, grade, stage	0.9366	0.9398	bcm
fatty_acid_uptake_oxidation	FABP4	64	0.2845	0.337966	0.2665	0.373431	purity, grade, stage	0.9366	0.9398	bcm
fatty_acid_uptake_oxidation	FABP5	64	-0.0043	0.962076	0.0143	0.877192	purity, grade, stage	0.9621	0.9398	bcm
fatty_acid_uptake_oxidation	CPT1A	64	-0.0809	0.579715	-0.1004	0.50387	purity, grade, stage	0.9491	0.9398	bcm
fatty_acid_uptake_oxidation	ACADL	64	-0.793	3e-06	-0.8165	2e-06	purity, grade, stage	0.0	0.0	bcm
fatty_acid_uptake_oxidation	HADHA	64	-0.0408	0.632704	-0.0244	0.780825	purity, grade, stage	0.9491	0.9398	bcm
